"","seqid","source","type","start","end","strand","phase","sample","cluster_id","nearest_mibig","mibig_class","dice","score","partial_cluster"
"18172","NZ_CP034058.1","SanntiSv0.9.1","CLUSTER","6165281","6216509",NA,NA,"GCF_009498015.1_ASM949801v1_genomic_sanntis.gff","NZ_CP034058.1_sanntis_18","BGC0001380","Saccharide","0.663","0.510","partial=00"
"19157","NZ_CP034058.1","SanntiSv0.9.1","CLUSTER","6333729","6345458",NA,NA,"GCF_009498015.1_ASM949801v1_genomic_sanntis.gff","NZ_CP034058.1_sanntis_19","BGC0001135","NRP","0.394","0.830","partial=00"
"20126","NZ_CP034058.1","SanntiSv0.9.1","CLUSTER","6630933","6656805",NA,NA,"GCF_009498015.1_ASM949801v1_genomic_sanntis.gff","NZ_CP034058.1_sanntis_20","BGC0001873","NRP","0.519","0.840","partial=00"
"11392","NZ_CP034671.1","SanntiSv0.9.1","CLUSTER","214628","219033",NA,NA,"GCF_009498715.1_ASM949871v1_genomic_sanntis.gff","NZ_CP034671.1_sanntis_1","BGC0000248","Polyketide","0.481","0.760","partial=00"
"2896","NZ_CP034671.1","SanntiSv0.9.1","CLUSTER","366365","407805",NA,NA,"GCF_009498715.1_ASM949871v1_genomic_sanntis.gff","NZ_CP034671.1_sanntis_2","BGC0000732","Saccharide","0.490","0.770","partial=00"
"3583","NZ_CP034671.1","SanntiSv0.9.1","CLUSTER","1388369","1395107",NA,NA,"GCF_009498715.1_ASM949871v1_genomic_sanntis.gff","NZ_CP034671.1_sanntis_3","BGC0002005","RiPP","0.333","0.840","partial=00"
"4444","NZ_CP034671.1","SanntiSv0.9.1","CLUSTER","2721089","2728698",NA,NA,"GCF_009498715.1_ASM949871v1_genomic_sanntis.gff","NZ_CP034671.1_sanntis_4","BGC0000546","RiPP","0.667","0.420","partial=00"
"11393","NZ_WMIA01000006.1","SanntiSv0.9.1","CLUSTER","181211","189471",NA,NA,"GCF_009710015.1_ASM971001v1_genomic_sanntis.gff","NZ_WMIA01000006.1_sanntis_1","BGC0001870","Other","0.488","0.480","partial=00"
"2897","NZ_WMIA01000010.1","SanntiSv0.9.1","CLUSTER","82715","95919",NA,NA,"GCF_009710015.1_ASM971001v1_genomic_sanntis.gff","NZ_WMIA01000010.1_sanntis_1","BGC0001478","Other","0.514","0.700","partial=00"
"3584","NZ_WMIA01000016.1","SanntiSv0.9.1","CLUSTER","11158","18184",NA,NA,"GCF_009710015.1_ASM971001v1_genomic_sanntis.gff","NZ_WMIA01000016.1_sanntis_1","BGC0000763","Saccharide","0.733","0.590","partial=00"
"4445","NZ_WMIA01000044.1","SanntiSv0.9.1","CLUSTER","191","15064",NA,NA,"GCF_009710015.1_ASM971001v1_genomic_sanntis.gff","NZ_WMIA01000044.1_sanntis_1","BGC0000532","RiPP","0.600","0.860","partial=11"
"11394","NZ_VIKY01000012.1","SanntiSv0.9.1","CLUSTER","63","12240",NA,NA,"GCF_009711925.1_ASM971192v1_genomic_sanntis.gff","NZ_VIKY01000012.1_sanntis_1","BGC0001505","RiPP","0.132","1.000","partial=10"
"2898","NZ_VIKY01000027.1","SanntiSv0.9.1","CLUSTER","63","41714",NA,NA,"GCF_009711925.1_ASM971192v1_genomic_sanntis.gff","NZ_VIKY01000027.1_sanntis_1","BGC0001018","NRP Polyketide","0.457","0.860","partial=11"
"3585","NZ_VIKY01000043.1","SanntiSv0.9.1","CLUSTER","358","33433",NA,NA,"GCF_009711925.1_ASM971192v1_genomic_sanntis.gff","NZ_VIKY01000043.1_sanntis_1","BGC0000869","Other","0.446","0.920","partial=10"
"4446","NZ_VIKY01000059.1","SanntiSv0.9.1","CLUSTER","58","5384",NA,NA,"GCF_009711925.1_ASM971192v1_genomic_sanntis.gff","NZ_VIKY01000059.1_sanntis_1","BGC0000623","RiPP","0.474","0.570","partial=10"
"5378","NZ_VIKY01000103.1","SanntiSv0.9.1","CLUSTER","35497","55592",NA,NA,"GCF_009711925.1_ASM971192v1_genomic_sanntis.gff","NZ_VIKY01000103.1_sanntis_1","BGC0000790","Saccharide","0.458","0.580","partial=01"
"6362","NZ_VIKY01000110.1","SanntiSv0.9.1","CLUSTER","3940","10734",NA,NA,"GCF_009711925.1_ASM971192v1_genomic_sanntis.gff","NZ_VIKY01000110.1_sanntis_1","BGC0001223","Other","0.615","0.700","partial=01"
"7343","NZ_VIKY01000139.1","SanntiSv0.9.1","CLUSTER","15084","32392",NA,NA,"GCF_009711925.1_ASM971192v1_genomic_sanntis.gff","NZ_VIKY01000139.1_sanntis_1","BGC0000786","Saccharide","0.512","0.590","partial=00"
"8326","NZ_VIKY01000186.1","SanntiSv0.9.1","CLUSTER","15618","27656",NA,NA,"GCF_009711925.1_ASM971192v1_genomic_sanntis.gff","NZ_VIKY01000186.1_sanntis_1","BGC0001640","RiPP","0.522","0.860","partial=00"
"9309","NZ_VIKY01000234.1","SanntiSv0.9.1","CLUSTER","10625","23777",NA,NA,"GCF_009711925.1_ASM971192v1_genomic_sanntis.gff","NZ_VIKY01000234.1_sanntis_1","BGC0000426","NRP","0.532","0.830","partial=00"
"10292","NZ_VIKY01000237.1","SanntiSv0.9.1","CLUSTER","168","3404",NA,NA,"GCF_009711925.1_ASM971192v1_genomic_sanntis.gff","NZ_VIKY01000237.1_sanntis_1","BGC0002020","NRP Saccharide","0.714","0.520","partial=11"
"11395","NZ_VIKY01000244.1","SanntiSv0.9.1","CLUSTER","27604","60802",NA,NA,"GCF_009711925.1_ASM971192v1_genomic_sanntis.gff","NZ_VIKY01000244.1_sanntis_1","BGC0000790","Saccharide","0.500","0.550","partial=00"
"12297","NZ_VIKY01000249.1","SanntiSv0.9.1","CLUSTER","3","13631",NA,NA,"GCF_009711925.1_ASM971192v1_genomic_sanntis.gff","NZ_VIKY01000249.1_sanntis_1","BGC0000501","RiPP","0.655","0.430","partial=10"
"13272","NZ_VIKY01000263.1","SanntiSv0.9.1","CLUSTER","115","57914",NA,NA,"GCF_009711925.1_ASM971192v1_genomic_sanntis.gff","NZ_VIKY01000263.1_sanntis_1","BGC0000369","NRP Saccharide","0.146","0.920","partial=10"
"14250","NZ_VIKY01000283.1","SanntiSv0.9.1","CLUSTER","9029","68131",NA,NA,"GCF_009711925.1_ASM971192v1_genomic_sanntis.gff","NZ_VIKY01000283.1_sanntis_1","BGC0001016","NRP Polyketide","0.193","0.990","partial=01"
"15229","NZ_VIKY01000290.1","SanntiSv0.9.1","CLUSTER","426","26821",NA,NA,"GCF_009711925.1_ASM971192v1_genomic_sanntis.gff","NZ_VIKY01000290.1_sanntis_1","BGC0000861","Other","0.500","0.950","partial=10"
"16209","NZ_VIKY01000290.1","SanntiSv0.9.1","CLUSTER","44475","53450",NA,NA,"GCF_009711925.1_ASM971192v1_genomic_sanntis.gff","NZ_VIKY01000290.1_sanntis_2","BGC0002005","RiPP","0.438","0.900","partial=00"
"17192","NZ_VIKY01000297.1","SanntiSv0.9.1","CLUSTER","217","29921",NA,NA,"GCF_009711925.1_ASM971192v1_genomic_sanntis.gff","NZ_VIKY01000297.1_sanntis_1","BGC0000426","NRP","0.200","0.910","partial=10"
"18173","NZ_VIKY01000320.1","SanntiSv0.9.1","CLUSTER","364","16655",NA,NA,"GCF_009711925.1_ASM971192v1_genomic_sanntis.gff","NZ_VIKY01000320.1_sanntis_1","BGC0000892","Other","0.758","0.850","partial=10"
"11396","NZ_VIKX01000005.1","SanntiSv0.9.1","CLUSTER","37169","49078",NA,NA,"GCF_009711935.1_ASM971193v1_genomic_sanntis.gff","NZ_VIKX01000005.1_sanntis_1","BGC0001640","RiPP","0.551","0.730","partial=00"
"2899","NZ_VIKX01000037.1","SanntiSv0.9.1","CLUSTER","21662","45340",NA,NA,"GCF_009711935.1_ASM971193v1_genomic_sanntis.gff","NZ_VIKX01000037.1_sanntis_1","BGC0001023","NRP Polyketide","0.474","0.950","partial=00"
"3586","NZ_VIKX01000050.1","SanntiSv0.9.1","CLUSTER","55223","59704",NA,NA,"GCF_009711935.1_ASM971193v1_genomic_sanntis.gff","NZ_VIKX01000050.1_sanntis_1","BGC0001135","NRP","0.360","0.790","partial=01"
"4447","NZ_VIKX01000078.1","SanntiSv0.9.1","CLUSTER","46995","50223",NA,NA,"GCF_009711935.1_ASM971193v1_genomic_sanntis.gff","NZ_VIKX01000078.1_sanntis_1","BGC0002020","NRP Saccharide","0.714","0.520","partial=00"
"5379","NZ_VIKX01000082.1","SanntiSv0.9.1","CLUSTER","60089","77905",NA,NA,"GCF_009711935.1_ASM971193v1_genomic_sanntis.gff","NZ_VIKX01000082.1_sanntis_1","BGC0002005","RiPP","0.560","0.640","partial=00"
"6363","NZ_VIKX01000103.1","SanntiSv0.9.1","CLUSTER","12179","17427",NA,NA,"GCF_009711935.1_ASM971193v1_genomic_sanntis.gff","NZ_VIKX01000103.1_sanntis_1","BGC0000623","RiPP","0.375","0.780","partial=00"
"7344","NZ_VIKX01000122.1","SanntiSv0.9.1","CLUSTER","5912","44714",NA,NA,"GCF_009711935.1_ASM971193v1_genomic_sanntis.gff","NZ_VIKX01000122.1_sanntis_1","BGC0000984","NRP Polyketide","0.351","0.990","partial=01"
"8327","NZ_VIKX01000143.1","SanntiSv0.9.1","CLUSTER","1","6200",NA,NA,"GCF_009711935.1_ASM971193v1_genomic_sanntis.gff","NZ_VIKX01000143.1_sanntis_1","BGC0001525","Other","0.524","0.400","partial=10"
"9310","NZ_VIKX01000187.1","SanntiSv0.9.1","CLUSTER","133962","166333",NA,NA,"GCF_009711935.1_ASM971193v1_genomic_sanntis.gff","NZ_VIKX01000187.1_sanntis_1","BGC0000869","Other","0.377","0.950","partial=00"
"10293","NZ_VIKX01000192.1","SanntiSv0.9.1","CLUSTER","12325","40457",NA,NA,"GCF_009711935.1_ASM971193v1_genomic_sanntis.gff","NZ_VIKX01000192.1_sanntis_1","BGC0000869","Other","0.455","0.960","partial=00"
"11397","NZ_VIKX01000196.1","SanntiSv0.9.1","CLUSTER","2868","9730",NA,NA,"GCF_009711935.1_ASM971193v1_genomic_sanntis.gff","NZ_VIKX01000196.1_sanntis_1","BGC0001223","Other","0.583","0.780","partial=01"
"12298","NZ_VIKX01000223.1","SanntiSv0.9.1","CLUSTER","32348","36279",NA,NA,"GCF_009711935.1_ASM971193v1_genomic_sanntis.gff","NZ_VIKX01000223.1_sanntis_1","BGC0001525","Other","0.487","0.390","partial=00"
"13273","NZ_VIKX01000235.1","SanntiSv0.9.1","CLUSTER","107","10333",NA,NA,"GCF_009711935.1_ASM971193v1_genomic_sanntis.gff","NZ_VIKX01000235.1_sanntis_1","BGC0000741","Saccharide","0.538","0.520","partial=11"
"14251","NZ_VIKX01000238.1","SanntiSv0.9.1","CLUSTER","291","3670",NA,NA,"GCF_009711935.1_ASM971193v1_genomic_sanntis.gff","NZ_VIKX01000238.1_sanntis_1","BGC0000623","RiPP","0.412","0.710","partial=10"
"15230","NZ_VIKX01000259.1","SanntiSv0.9.1","CLUSTER","12","15790",NA,NA,"GCF_009711935.1_ASM971193v1_genomic_sanntis.gff","NZ_VIKX01000259.1_sanntis_1","BGC0001721","NRP","0.541","0.790","partial=10"
"16210","NZ_VIKX01000259.1","SanntiSv0.9.1","CLUSTER","21367","27288",NA,NA,"GCF_009711935.1_ASM971193v1_genomic_sanntis.gff","NZ_VIKX01000259.1_sanntis_2","BGC0000660","Terpene","0.500","0.770","partial=01"
"17193","NZ_VIKX01000264.1","SanntiSv0.9.1","CLUSTER","3758","33464",NA,NA,"GCF_009711935.1_ASM971193v1_genomic_sanntis.gff","NZ_VIKX01000264.1_sanntis_1","BGC0000790","Saccharide","0.615","0.410","partial=00"
"18174","NZ_VIKX01000303.1","SanntiSv0.9.1","CLUSTER","6669","34875",NA,NA,"GCF_009711935.1_ASM971193v1_genomic_sanntis.gff","NZ_VIKX01000303.1_sanntis_1","BGC0000694","Saccharide","0.600","0.480","partial=00"
"11398","NZ_VIKV01000006.1","SanntiSv0.9.1","CLUSTER","5578","21249",NA,NA,"GCF_009711965.1_ASM971196v1_genomic_sanntis.gff","NZ_VIKV01000006.1_sanntis_1","BGC0001640","RiPP","0.551","0.860","partial=00"
"2900","NZ_VIKV01000015.1","SanntiSv0.9.1","CLUSTER","88","52936",NA,NA,"GCF_009711965.1_ASM971196v1_genomic_sanntis.gff","NZ_VIKV01000015.1_sanntis_1","BGC0000790","Saccharide","0.674","0.510","partial=10"
"3587","NZ_VIKV01000114.1","SanntiSv0.9.1","CLUSTER","38878","44752",NA,NA,"GCF_009711965.1_ASM971196v1_genomic_sanntis.gff","NZ_VIKV01000114.1_sanntis_1","BGC0001223","Other","0.565","0.780","partial=00"
"4448","NZ_VIKV01000138.1","SanntiSv0.9.1","CLUSTER","6223","19603",NA,NA,"GCF_009711965.1_ASM971196v1_genomic_sanntis.gff","NZ_VIKV01000138.1_sanntis_1","BGC0000472","RiPP","0.065","1.000","partial=01"
"5380","NZ_VIKV01000150.1","SanntiSv0.9.1","CLUSTER","952","17318",NA,NA,"GCF_009711965.1_ASM971196v1_genomic_sanntis.gff","NZ_VIKV01000150.1_sanntis_1","BGC0000892","Other","0.758","0.850","partial=10"
"6364","NZ_VIKV01000181.1","SanntiSv0.9.1","CLUSTER","107","3882",NA,NA,"GCF_009711965.1_ASM971196v1_genomic_sanntis.gff","NZ_VIKV01000181.1_sanntis_1","BGC0002020","NRP Saccharide","0.750","0.520","partial=10"
"7345","NZ_VIKV01000211.1","SanntiSv0.9.1","CLUSTER","23644","63764",NA,NA,"GCF_009711965.1_ASM971196v1_genomic_sanntis.gff","NZ_VIKV01000211.1_sanntis_1","BGC0000302","NRP","0.221","0.920","partial=00"
"8328","NZ_VIKV01000216.1","SanntiSv0.9.1","CLUSTER","34","13187",NA,NA,"GCF_009711965.1_ASM971196v1_genomic_sanntis.gff","NZ_VIKV01000216.1_sanntis_1","BGC0000426","NRP","0.532","0.830","partial=10"
"9311","NZ_VIKV01000220.1","SanntiSv0.9.1","CLUSTER","59","46454",NA,NA,"GCF_009711965.1_ASM971196v1_genomic_sanntis.gff","NZ_VIKV01000220.1_sanntis_1","BGC0000332","NRP","0.440","0.860","partial=11"
"10294","NZ_VIKV01000254.1","SanntiSv0.9.1","CLUSTER","11240","18409",NA,NA,"GCF_009711965.1_ASM971196v1_genomic_sanntis.gff","NZ_VIKV01000254.1_sanntis_1","BGC0001356","RiPP","0.419","0.740","partial=00"
"11399","NZ_VIKV01000269.1","SanntiSv0.9.1","CLUSTER","7426","25036",NA,NA,"GCF_009711965.1_ASM971196v1_genomic_sanntis.gff","NZ_VIKV01000269.1_sanntis_1","BGC0000786","Saccharide","0.524","0.560","partial=00"
"12299","NZ_VIKV01000269.1","SanntiSv0.9.1","CLUSTER","36424","39790",NA,NA,"GCF_009711965.1_ASM971196v1_genomic_sanntis.gff","NZ_VIKV01000269.1_sanntis_2","BGC0000623","RiPP","0.375","0.864","partial=00"
"13274","NZ_VIKV01000280.1","SanntiSv0.9.1","CLUSTER","8514","41505",NA,NA,"GCF_009711965.1_ASM971196v1_genomic_sanntis.gff","NZ_VIKV01000280.1_sanntis_1","BGC0000869","Other","0.439","0.910","partial=00"
"14252","NZ_VIKV01000294.1","SanntiSv0.9.1","CLUSTER","315","26725",NA,NA,"GCF_009711965.1_ASM971196v1_genomic_sanntis.gff","NZ_VIKV01000294.1_sanntis_1","BGC0000861","Other","0.500","0.950","partial=10"
"15231","NZ_VIKV01000297.1","SanntiSv0.9.1","CLUSTER","59","58660",NA,NA,"GCF_009711965.1_ASM971196v1_genomic_sanntis.gff","NZ_VIKV01000297.1_sanntis_1","BGC0000369","NRP Saccharide","0.100","0.930","partial=10"
"11400","NZ_VIKW01000003.1","SanntiSv0.9.1","CLUSTER","49212","71946",NA,NA,"GCF_009711975.1_ASM971197v1_genomic_sanntis.gff","NZ_VIKW01000003.1_sanntis_1","BGC0000790","Saccharide","0.524","0.450","partial=00"
"2901","NZ_VIKW01000003.1","SanntiSv0.9.1","CLUSTER","79337","106535",NA,NA,"GCF_009711975.1_ASM971197v1_genomic_sanntis.gff","NZ_VIKW01000003.1_sanntis_2","BGC0000554","RiPP","0.621","0.860","partial=00"
"3588","NZ_VIKW01000005.1","SanntiSv0.9.1","CLUSTER","109330","114537",NA,NA,"GCF_009711975.1_ASM971197v1_genomic_sanntis.gff","NZ_VIKW01000005.1_sanntis_1","BGC0000675","Terpene","0.652","0.860","partial=00"
"4449","NZ_VIKW01000005.1","SanntiSv0.9.1","CLUSTER","193360","221919",NA,NA,"GCF_009711975.1_ASM971197v1_genomic_sanntis.gff","NZ_VIKW01000005.1_sanntis_2","BGC0000694","Saccharide","0.632","0.710","partial=00"
"5381","NZ_VIKW01000007.1","SanntiSv0.9.1","CLUSTER","96006","101466",NA,NA,"GCF_009711975.1_ASM971197v1_genomic_sanntis.gff","NZ_VIKW01000007.1_sanntis_1","BGC0000623","RiPP","0.412","0.780","partial=00"
"6365","NZ_VIKW01000007.1","SanntiSv0.9.1","CLUSTER","107033","160614",NA,NA,"GCF_009711975.1_ASM971197v1_genomic_sanntis.gff","NZ_VIKW01000007.1_sanntis_2","BGC0000869","Other","0.491","0.920","partial=00"
"7346","NZ_VIKW01000009.1","SanntiSv0.9.1","CLUSTER","48044","70589",NA,NA,"GCF_009711975.1_ASM971197v1_genomic_sanntis.gff","NZ_VIKW01000009.1_sanntis_1","BGC0001586","Saccharide","0.609","0.400","partial=00"
"8329","NZ_VIKW01000011.1","SanntiSv0.9.1","CLUSTER","83022","101973",NA,NA,"GCF_009711975.1_ASM971197v1_genomic_sanntis.gff","NZ_VIKW01000011.1_sanntis_1","BGC0000426","NRP","0.489","0.840","partial=00"
"9312","NZ_VIKW01000012.1","SanntiSv0.9.1","CLUSTER","66280","77627",NA,NA,"GCF_009711975.1_ASM971197v1_genomic_sanntis.gff","NZ_VIKW01000012.1_sanntis_1","BGC0002005","RiPP","0.267","0.820","partial=00"
"10295","NZ_VIKW01000017.1","SanntiSv0.9.1","CLUSTER","13240","44488",NA,NA,"GCF_009711975.1_ASM971197v1_genomic_sanntis.gff","NZ_VIKW01000017.1_sanntis_1","BGC0001019","NRP Polyketide","0.368","0.950","partial=00"
"11401","NZ_VIKW01000022.1","SanntiSv0.9.1","CLUSTER","73412","95811",NA,NA,"GCF_009711975.1_ASM971197v1_genomic_sanntis.gff","NZ_VIKW01000022.1_sanntis_1","BGC0000869","Other","0.408","0.960","partial=01"
"12300","NZ_VIKW01000028.1","SanntiSv0.9.1","CLUSTER","29961","53823",NA,NA,"GCF_009711975.1_ASM971197v1_genomic_sanntis.gff","NZ_VIKW01000028.1_sanntis_1","BGC0001135","NRP","0.421","0.850","partial=01"
"13275","NZ_VIKW01000032.1","SanntiSv0.9.1","CLUSTER","3","29722",NA,NA,"GCF_009711975.1_ASM971197v1_genomic_sanntis.gff","NZ_VIKW01000032.1_sanntis_1","BGC0000984","NRP Polyketide","0.342","0.990","partial=10"
"14253","NZ_VIKW01000042.1","SanntiSv0.9.1","CLUSTER","44","34058",NA,NA,"GCF_009711975.1_ASM971197v1_genomic_sanntis.gff","NZ_VIKW01000042.1_sanntis_1","BGC0000017","Alkaloid Polyketide","0.449","0.900","partial=10"
"15232","NZ_VIKW01000047.1","SanntiSv0.9.1","CLUSTER","1","14970",NA,NA,"GCF_009711975.1_ASM971197v1_genomic_sanntis.gff","NZ_VIKW01000047.1_sanntis_1","BGC0000741","Saccharide","0.538","0.680","partial=10"
"11402","NZ_VIKZ01000003.1","SanntiSv0.9.1","CLUSTER","2","2739",NA,NA,"GCF_009711985.1_ASM971198v1_genomic_sanntis.gff","NZ_VIKZ01000003.1_sanntis_1","BGC0001632","RiPP","0.333","0.784","partial=10"
"2902","NZ_VIKZ01000003.1","SanntiSv0.9.1","CLUSTER","17925","24953",NA,NA,"GCF_009711985.1_ASM971198v1_genomic_sanntis.gff","NZ_VIKZ01000003.1_sanntis_2","BGC0000623","RiPP","0.412","0.780","partial=00"
"3589","NZ_VIKZ01000006.1","SanntiSv0.9.1","CLUSTER","83995","105293",NA,NA,"GCF_009711985.1_ASM971198v1_genomic_sanntis.gff","NZ_VIKZ01000006.1_sanntis_1","BGC0000861","Other","0.385","0.990","partial=00"
"4450","NZ_VIKZ01000010.1","SanntiSv0.9.1","CLUSTER","18057","53767",NA,NA,"GCF_009711985.1_ASM971198v1_genomic_sanntis.gff","NZ_VIKZ01000010.1_sanntis_1","BGC0000784","Saccharide","0.549","0.480","partial=00"
"5382","NZ_VIKZ01000010.1","SanntiSv0.9.1","CLUSTER","59449","70145",NA,NA,"GCF_009711985.1_ASM971198v1_genomic_sanntis.gff","NZ_VIKZ01000010.1_sanntis_2","BGC0000581","RiPP","0.692","0.590","partial=00"
"6366","NZ_VIKZ01000011.1","SanntiSv0.9.1","CLUSTER","349","49259",NA,NA,"GCF_009711985.1_ASM971198v1_genomic_sanntis.gff","NZ_VIKZ01000011.1_sanntis_1","BGC0000302","NRP","0.426","0.800","partial=10"
"7347","NZ_VIKZ01000014.1","SanntiSv0.9.1","CLUSTER","38633","94348",NA,NA,"GCF_009711985.1_ASM971198v1_genomic_sanntis.gff","NZ_VIKZ01000014.1_sanntis_1","BGC0001667","NRP Polyketide","0.128","1.000","partial=01"
"8330","NZ_VIKZ01000018.1","SanntiSv0.9.1","CLUSTER","76933","88997",NA,NA,"GCF_009711985.1_ASM971198v1_genomic_sanntis.gff","NZ_VIKZ01000018.1_sanntis_1","BGC0001640","RiPP","0.522","0.860","partial=00"
"9313","NZ_VIKZ01000023.1","SanntiSv0.9.1","CLUSTER","79","29149",NA,NA,"GCF_009711985.1_ASM971198v1_genomic_sanntis.gff","NZ_VIKZ01000023.1_sanntis_1","BGC0000072","Polyketide","0.595","0.840","partial=10"
"10296","NZ_VIKZ01000025.1","SanntiSv0.9.1","CLUSTER","65684","70268",NA,NA,"GCF_009711985.1_ASM971198v1_genomic_sanntis.gff","NZ_VIKZ01000025.1_sanntis_1","BGC0002020","NRP Saccharide","0.750","0.520","partial=00"
"11403","NZ_VIKZ01000032.1","SanntiSv0.9.1","CLUSTER","1","12132",NA,NA,"GCF_009711985.1_ASM971198v1_genomic_sanntis.gff","NZ_VIKZ01000032.1_sanntis_1","BGC0001641","NRP","0.459","0.630","partial=10"
"12301","NZ_VIKZ01000042.1","SanntiSv0.9.1","CLUSTER","110841","116754",NA,NA,"GCF_009711985.1_ASM971198v1_genomic_sanntis.gff","NZ_VIKZ01000042.1_sanntis_1","BGC0001168","NRP","0.538","0.550","partial=01"
"13276","NZ_VIKZ01000046.1","SanntiSv0.9.1","CLUSTER","40876","50592",NA,NA,"GCF_009711985.1_ASM971198v1_genomic_sanntis.gff","NZ_VIKZ01000046.1_sanntis_1","BGC0000534","RiPP","0.586","0.880","partial=00"
"14254","NZ_VIKZ01000048.1","SanntiSv0.9.1","CLUSTER","3","34169",NA,NA,"GCF_009711985.1_ASM971198v1_genomic_sanntis.gff","NZ_VIKZ01000048.1_sanntis_1","BGC0001022","NRP Polyketide","0.394","0.990","partial=11"
"15233","NZ_VIKZ01000051.1","SanntiSv0.9.1","CLUSTER","5704","32965",NA,NA,"GCF_009711985.1_ASM971198v1_genomic_sanntis.gff","NZ_VIKZ01000051.1_sanntis_1","BGC0000869","Other","0.370","0.970","partial=00"
"16211","NZ_VIKZ01000068.1","SanntiSv0.9.1","CLUSTER","17018","19561",NA,NA,"GCF_009711985.1_ASM971198v1_genomic_sanntis.gff","NZ_VIKZ01000068.1_sanntis_1","BGC0001632","RiPP","0.111","0.851","partial=00"
"11404","NZ_VILA01000001.1","SanntiSv0.9.1","CLUSTER","30272","45932",NA,NA,"GCF_009712025.1_ASM971202v1_genomic_sanntis.gff","NZ_VILA01000001.1_sanntis_1","BGC0001640","RiPP","0.551","0.860","partial=00"
"2903","NZ_VILA01000002.1","SanntiSv0.9.1","CLUSTER","48836","66446",NA,NA,"GCF_009712025.1_ASM971202v1_genomic_sanntis.gff","NZ_VILA01000002.1_sanntis_1","BGC0000786","Saccharide","0.524","0.560","partial=00"
"3590","NZ_VILA01000002.1","SanntiSv0.9.1","CLUSTER","77834","81200",NA,NA,"GCF_009712025.1_ASM971202v1_genomic_sanntis.gff","NZ_VILA01000002.1_sanntis_2","BGC0000623","RiPP","0.375","0.864","partial=00"
"4451","NZ_VILA01000006.1","SanntiSv0.9.1","CLUSTER","93546","105235",NA,NA,"GCF_009712025.1_ASM971202v1_genomic_sanntis.gff","NZ_VILA01000006.1_sanntis_1","BGC0001505","RiPP","0.149","1.000","partial=00"
"5383","NZ_VILA01000006.1","SanntiSv0.9.1","CLUSTER","121741","128668",NA,NA,"GCF_009712025.1_ASM971202v1_genomic_sanntis.gff","NZ_VILA01000006.1_sanntis_2","BGC0000623","RiPP","0.412","0.780","partial=00"
"6367","NZ_VILA01000007.1","SanntiSv0.9.1","CLUSTER","21641","64794",NA,NA,"GCF_009712025.1_ASM971202v1_genomic_sanntis.gff","NZ_VILA01000007.1_sanntis_1","BGC0000302","NRP","0.293","0.840","partial=00"
"7348","NZ_VILA01000010.1","SanntiSv0.9.1","CLUSTER","339126","352279",NA,NA,"GCF_009712025.1_ASM971202v1_genomic_sanntis.gff","NZ_VILA01000010.1_sanntis_1","BGC0000426","NRP","0.532","0.830","partial=00"
"8331","NZ_VILA01000012.1","SanntiSv0.9.1","CLUSTER","153","59384",NA,NA,"GCF_009712025.1_ASM971202v1_genomic_sanntis.gff","NZ_VILA01000012.1_sanntis_1","BGC0000369","NRP Saccharide","0.100","0.930","partial=10"
"9314","NZ_VILA01000015.1","SanntiSv0.9.1","CLUSTER","3","16472",NA,NA,"GCF_009712025.1_ASM971202v1_genomic_sanntis.gff","NZ_VILA01000015.1_sanntis_1","BGC0000892","Other","0.758","0.850","partial=10"
"10297","NZ_VILA01000016.1","SanntiSv0.9.1","CLUSTER","268095","292680",NA,NA,"GCF_009712025.1_ASM971202v1_genomic_sanntis.gff","NZ_VILA01000016.1_sanntis_1","BGC0000861","Other","0.444","0.970","partial=00"
"11405","NZ_VILA01000022.1","SanntiSv0.9.1","CLUSTER","58305","103821",NA,NA,"GCF_009712025.1_ASM971202v1_genomic_sanntis.gff","NZ_VILA01000022.1_sanntis_1","BGC0000332","NRP","0.462","0.850","partial=00"
"12302","NZ_VILA01000022.1","SanntiSv0.9.1","CLUSTER","145574","151448",NA,NA,"GCF_009712025.1_ASM971202v1_genomic_sanntis.gff","NZ_VILA01000022.1_sanntis_2","BGC0001223","Other","0.565","0.780","partial=00"
"13277","NZ_VILA01000025.1","SanntiSv0.9.1","CLUSTER","8344","38943",NA,NA,"GCF_009712025.1_ASM971202v1_genomic_sanntis.gff","NZ_VILA01000025.1_sanntis_1","BGC0000869","Other","0.410","0.920","partial=00"
"14255","NZ_VILA01000026.1","SanntiSv0.9.1","CLUSTER","211224","215409",NA,NA,"GCF_009712025.1_ASM971202v1_genomic_sanntis.gff","NZ_VILA01000026.1_sanntis_1","BGC0002020","NRP Saccharide","0.750","0.520","partial=00"
"15234","NZ_VILA01000033.1","SanntiSv0.9.1","CLUSTER","19572","34544",NA,NA,"GCF_009712025.1_ASM971202v1_genomic_sanntis.gff","NZ_VILA01000033.1_sanntis_1","BGC0000878","Other","0.500","0.730","partial=00"
"11406","NZ_VILB01000002.1","SanntiSv0.9.1","CLUSTER","171645","190601",NA,NA,"GCF_009712035.1_ASM971203v1_genomic_sanntis.gff","NZ_VILB01000002.1_sanntis_1","BGC0000803","Saccharide","0.627","0.470","partial=00"
"2904","NZ_VILB01000003.1","SanntiSv0.9.1","CLUSTER","9224","40012",NA,NA,"GCF_009712035.1_ASM971203v1_genomic_sanntis.gff","NZ_VILB01000003.1_sanntis_1","BGC0000782","Saccharide","0.604","0.710","partial=00"
