accession,genus_species,genus,isolation_source_host_focus,isolation_source,symbiosis_type,host_identity,habitat_classification,family,order
GCF_002893265.1_ASM289326v1_genomic,Cylindrospermopsis raciborskii,Cylindrospermopsis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_002893285.1_ASM289328v1_genomic,Cylindrospermopsis raciborskii,Cylindrospermopsis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_002896875.1_ASM289687v1_genomic,Nostoc sp.,Nostoc,Aquatic,Aquatic (Saline Lake),Free-living,Aquatic,Aquatic,Nostocaceae,Nostocales
GCF_002897275.1_ASM289727v1_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_002897315.1_ASM289731v1_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_002914585.1_ASM291458v1_genomic,Pseudanabaena sp.,Pseudanabaena,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Pseudanabaenaceae,Synechococcales
GCF_002933835.1_ASM293383v1_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Lake,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_002934005.1_ASM293400v1_genomic,Cuspidothrix issatschenkoi,Cuspidothrix,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_002939305.1_ASM293930v1_genomic,Chroococcidiopsis sp.,Chroococcidiopsis,Aquatic,Hotspring,Free-living,Aquatic,Aquatic,Chroococcidiopsidaceae,Chroococcidiopsidales
GCF_003003695.1_ASM300369v1_genomic,Phormidesmis priestleyi,Phormidesmis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Leptolyngbyaceae,Synechococcales
GCF_003003775.1_ASM300377v1_genomic,Merismopedia glauca,Merismopedia,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Merismopediaceae,Synechococcales
GCF_003003795.1_ASM300379v1_genomic,Stenomitos frigidus,Stenomitos,Aquatic,Lake,Free-living,Aquatic,Aquatic,Leptolyngbyaceae,Synechococcales
GCF_003003835.1_ASM300383v1_genomic,Chroococcidiopsis cubana,Chroococcidiopsis,Aquatic,Mineral spring,Free-living,Aquatic,Aquatic,Chroococcidiopsidaceae,Chroococcidiopsidales
GCF_003003845.1_ASM300384v1_genomic,Chamaesiphon polymorphus,Chamaesiphon,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Chamaesiphonaceae,Synechococcales
GCF_003003885.1_ASM300388v1_genomic,Chrogloea sp.,Chrogloea,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Entophysalidaceae,Chroococcales
GCF_003003995.1_ASM300399v1_genomic,Pleurocapsa sp.,Pleurocapsa,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Pleurocapsaceae,Pleurocapsales
GCF_003007785.1_ASM300778v1_genomic,Aphanothece hegewaldii,Aphanothece,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Aphanothecaceae,Chroococcales
GCF_003011125.1_ASM301112v1_genomic,Synechococcus lacustris,Synechococcus,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_003011885.1_ASM301188v1_genomic,Cyanobium usitatum,Cyanobium,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_003013815.1_ASM301381v1_genomic,Cyanothece sp.,Cyanothece,Aquatic,Saltwater,Free-living,Aquatic,Aquatic,Cyanothecaceae,Oscillatoriales
GCF_003015105.1_ASM301510v1_genomic,Chroococcidiopsis sp.,Chroococcidiopsis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Chroococcidiopsidaceae,Chroococcidiopsidales
GCF_003019735.1_ASM301973v1_genomic,Microcystis sp.,Microcystis,Aquatic,Lake,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_003054475.1_ASM305447v1_genomic,Nodularia spumigena,Nodularia,Aquatic,Gulf of Finland,Free-living,Aquatic,Aquatic,Nodulariaceae,Nostocales
GCF_003112475.1_ASM311247v1_genomic,Microcystis sp.,Microcystis,Aquatic,Lake,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_003206555.1_ASM320655v1_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Lake,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_003206625.1_ASM320662v1_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_003208055.1_ASM320805v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_003208065.1_ASM320806v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_003231495.1_AcaThom1.0_genomic,Acaryochloris thomasi,Acaryochloris,Aquatic,Seawater,Free-living,Aquatic,Aquatic,Acaryochloridaceae,Acaryochloridales
GCF_003346965.1_ASM334696v1_genomic,Fischerella thermalis,Fischerella,Aquatic,Creek,Free-living,Aquatic,Aquatic,Hapalosiphonaceae,Nostocales
GCF_003367075.2_ASM336707v2_genomic,Cylindrospermopsis raciborskii,Cylindrospermopsis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_003443655.1_ASM344365v1_genomic,Nostoc sphaeroides,Nostoc,Aquatic,Aquatic,Free-living,Aquatic,Aquatic,Nostocaceae,Nostocales
GCF_003730145.1_ASM373014v1_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Lake,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_003838195.1_ASM383819v1_genomic,Okeania hirsuta,Okeania,Aquatic,Seagrass bed,Free-living,Aquatic,Aquatic,Oscillatoriaceae,Oscillatoriales
GCF_003838225.1_ASM383822v1_genomic,Okeania hirsuta,Okeania,Aquatic,Marine substrate,Free-living,Aquatic,Aquatic,Oscillatoriaceae,Oscillatoriales
GCF_003846445.1_ASM384644v1_genomic,Synechococcus elongatus,Synechococcus,Aquatic,Lake,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_003864295.1_ASM386429v1_genomic,Aphanothece sacrum,Aphanothece,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Aphanothecaceae,Chroococcales
GCF_003864315.1_ASM386431v1_genomic,Aphanothece sacrum,Aphanothece,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Aphanothecaceae,Chroococcales
GCF_003945305.1_ASM394530v1_genomic,Microcystis viridis,Microcystis,Aquatic,Lake,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_003957805.1_ASM395780v1_genomic,Synechococcus elongatus,Synechococcus,Aquatic,Creek,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_003967015.1_ASM396701v1_genomic,Pseudanabaena sp.,Pseudanabaena,Aquatic,Lake,Free-living,Aquatic,Aquatic,Pseudanabaenaceae,Synechococcales
GCF_004209775.1_ASM420977v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Seawater,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_004212215.1_ASM421221v1_genomic,Leptolyngbya sp.,Leptolyngbya,Aquatic,Marine,Free-living,Aquatic,Aquatic,Leptolyngbyaceae,Synechococcales
GCF_004305995.1_ASM430599v1_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Lake,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_004332405.1_ASM433240v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_004332415.1_ASM433241v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_005402765.1_ASM540276v2_genomic,Planktothrix agardhii,Planktothrix,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Oscillatoriaceae,Oscillatoriales
GCF_005402885.1_ASM540288v1_genomic,Sphaerospermopsis reniformis,Sphaerospermopsis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_005402965.1_ASM540296v1_genomic,Dolichospermum planctonicum,Dolichospermum,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_005577135.1_ASM557713v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Estuarine water,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_006523545.1_ASM652354v1_genomic,Cylindrospermopsis raciborskii,Cylindrospermopsis,Aquatic,Reservoir,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_006861605.1_ASM686160v1_genomic,Pseudanabaena sp.,Pseudanabaena,Aquatic,Lake,Free-living,Aquatic,Aquatic,Pseudanabaenaceae,Synechococcales
GCF_006937785.1_ASM693778v1_genomic,Pseudanabaena sp.,Pseudanabaena,Aquatic,Lake,Free-living,Aquatic,Aquatic,Pseudanabaenaceae,Synechococcales
GCF_007828135.1_ASM782813v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Lake,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_007904085.1_ASM790408v1_genomic,Euhalothece natronophila,Euhalothece,Aquatic,Lake,Free-living,Aquatic,Aquatic,Aphanothecaceae,Chroococcales
GCF_007990565.1_ASM799056v1_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Lake,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_008121535.1_ASM812153v1_genomic,Dolichospermum sp.,Dolichospermum,Aquatic,Gulf of Finland,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_008257445.1_ASM825744v1_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Reservoir,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_008386235.1_ASM838623v1_genomic,Thermosynechococcus sp.,Thermosynechococcus,Aquatic,Hotspring,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_008579225.1_ASM857922v1_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Lake,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_008579325.1_ASM857932v1_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Lake,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_008579445.1_ASM857944v1_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Lake,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_008579565.1_ASM857956v1_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Lake,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_008579685.1_ASM857968v1_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Lake,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_008757435.1_ASM875743v1_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Lake,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_008807075.1_ASM880707v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Seawater,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_008974145.1_ASM897414v1_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Lake,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_009498715.1_ASM949871v1_genomic,Synechococcus elongatus,Synechococcus,Aquatic,Lake,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_009711925.1_ASM971192v1_genomic,Dolichospermum sp.,Dolichospermum,Aquatic,Lake,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_009711935.1_ASM971193v1_genomic,Dolichospermum sp.,Dolichospermum,Aquatic,Brackish water,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_009711965.1_ASM971196v1_genomic,Dolichospermum sp.,Dolichospermum,Aquatic,Lake,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_009711975.1_ASM971197v1_genomic,Anabaena sp.,Anabaena,Aquatic,Brackish water,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_009711985.1_ASM971198v1_genomic,Dolichospermum sp.,Dolichospermum,Aquatic,Brackish water,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_009712025.1_ASM971202v1_genomic,Dolichospermum sp.,Dolichospermum,Aquatic,Lake,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_009712035.1_ASM971203v1_genomic,Anabaena sp.,Anabaena,Aquatic,Brackish water,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_009712065.1_ASM971206v1_genomic,Aphanizomenon sp.,Aphanizomenon,Aquatic,Brackish water,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_009712075.2_ASM971207v2_genomic,Dolichospermum planctonicum,Dolichospermum,Aquatic,Lake,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_009712085.1_ASM971208v1_genomic,Anabaena sp.,Anabaena,Aquatic,Brackish water,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_009712125.1_ASM971212v1_genomic,Dolichospermum flos-aquae,Dolichospermum,Aquatic,Lake,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_009725235.1_ASM972523v1_genomic,Scytonema sp.,Scytonema,Aquatic,River,Free-living,Aquatic,Aquatic,Scytonemataceae,Nostocales
GCF_009792235.1_ASM979223v1_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_009811815.1_ASM981181v1_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_009811835.1_ASM981183v1_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_009811855.1_ASM981185v1_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_009811875.1_ASM981187v1_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_009834675.1_ASM983467v1_genomic,Cyanobium sp.,Cyanobium,Aquatic,Reservoir,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_009856605.1_ASM985660v1_genomic,Trichormus variabilis,Trichormus,Aquatic,Thermal spring,Free-living,Aquatic,Aquatic,Nostocaceae,Nostocales
GCF_010196425.1_ASM1019642v1_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_010222815.1_ASM1022281v1_genomic,Synechocystis sp.,Synechocystis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Merismopediaceae,Synechococcales
GCF_011009535.1_ASM1100953v1_genomic,Adonsia turfae,Adonsia,Aquatic,Marine,Free-living,Aquatic,Aquatic,Unassigned,Unassigned
GCF_011009555.1_ASM1100955v1_genomic,Adonsia turfae,Adonsia,Aquatic,Marine,Free-living,Aquatic,Aquatic,Unassigned,Unassigned
GCF_011365345.1_ASM1136534v1_genomic,Synechococcus sp,Synechococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_011392055.1_ASM1139205v1_genomic,Synechocystis sp.,Synechocystis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Merismopediaceae,Synechococcales
GCF_012295525.1_ASM1229552v1_genomic,Oxynema aestuarii,Oxynema,Aquatic,Intertidal mangrove,Free-living,Aquatic,Aquatic,Microcoleaceae,Oscillatoriales
GCF_012516395.1_ASM1251639v1_genomic,Dolichospermum flos-aquae,Dolichospermum,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_012583295.1_ASM1258329v1_genomic,Cylindrospermopsis raciborskii,Cylindrospermopsis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_012863495.1_ASM1286349v1_genomic,Pseudanabaena yagii,Pseudanabaena,Aquatic,River,Free-living,Aquatic,Aquatic,Pseudanabaenaceae,Synechococcales
GCF_012911975.1_ASM1291197v1_genomic,Nodosilinea sp.,Nodosilinea,Aquatic,Lake,Free-living,Aquatic,Aquatic,Leptolyngbyaceae,Synechococcales
GCF_012933585.1_ASM1293358v1_genomic,Prochlorococcus sp.,Prochlorococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_012933595.1_ASM1293359v1_genomic,Prochlorococcus sp.,Prochlorococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_012933605.1_ASM1293360v1_genomic,Prochlorococcus sp.,Prochlorococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_013177315.1_ASM1317731v1_genomic,Thermoleptolyngbya sichuanensis,Thermoleptolyngbya,Aquatic,Hotspring,Free-living,Aquatic,Aquatic,Leptolyngbyaceae,Synechococcales
GCF_013867395.1_ASM1386739v1_genomic,Cylindrospermopsis raciborskii,Cylindrospermopsis,Aquatic,Reservoir,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_013867405.1_ASM1386740v1_genomic,Cylindrospermopsis raciborskii,Cylindrospermopsis,Aquatic,Reservoir,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_013867415.1_ASM1386741v1_genomic,Cylindrospermopsis raciborskii,Cylindrospermopsis,Aquatic,Reservoir,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_013867425.1_ASM1386742v1_genomic,Cylindrospermopsis raciborskii,Cylindrospermopsis,Aquatic,Reservoir,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_014023275.1_ASM1402327v1_genomic,Nostoc edaphicum,Nostoc,Aquatic,Marine,Free-living,Aquatic,Aquatic,Nostocaceae,Nostocales
GCF_014132355.1_ASM1413235v1_genomic,Okeania sp.,Okeania,Aquatic,Intertidal zone,Free-living,Aquatic,Aquatic,Oscillatoriaceae,Oscillatoriales
GCF_014217855.1_ASM1421785v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Seawater,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_014217875.1_ASM1421787v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Seawater,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_014218745.1_ASM1421874v1_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Lake,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_014218765.1_ASM1421876v1_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Lake,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_014222125.1_UMSL_AvarV5_1.0_genomic,Trichormus variabilis,Trichormus,Aquatic,Aquatic Plant,Free-living,Aquatic,Aquatic,Nostocaceae,Nostocales
GCF_014222135.1_ASM1422213v1_genomic,Trichormus variabilis,Trichormus,Aquatic,Aquatic Plant,Free-living,Aquatic,Aquatic,Nostocaceae,Nostocales
GCF_014222145.1_UMSL_Avar9RC_1.0_genomic,Trichormus variabilis,Trichormus,Aquatic,Aquatic Plant,Free-living,Aquatic,Aquatic,Nostocaceae,Nostocales
GCF_014222155.1_ASM1422215v1_genomic,Trichormus variabilis,Trichormus,Aquatic,Aquatic Plant,Free-living,Aquatic,Aquatic,Nostocaceae,Nostocales
GCF_014222225.1_UMSL_AvarPNB_1.0_genomic,Trichormus variabilis,Trichormus,Aquatic,Aquatic Plant,Free-living,Aquatic,Aquatic,Nostocaceae,Nostocales
GCF_014222245.1_ASM1422224v1_genomic,Trichormus variabilis,Trichormus,Aquatic,Aquatic Plant,Free-living,Aquatic,Aquatic,Nostocaceae,Nostocales
GCF_014224335.1_ASM1422433v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Black Sea,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_014224355.1_ASM1422435v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Black Sea,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_014279535.1_ASM1427953v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_014279555.1_ASM1427955v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_014279595.1_ASM1427959v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_014279615.1_ASM1427961v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_014279635.1_ASM1427963v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_014279655.1_ASM1427965v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_014279755.1_ASM1427975v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_014279775.1_ASM1427977v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_014279795.1_ASM1427979v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_014279815.1_ASM1427981v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_014279835.1_ASM1427983v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_014279855.1_ASM1427985v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_014279875.1_ASM1427987v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_014279895.1_ASM1427989v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_014279955.1_ASM1427995v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_014279975.1_ASM1427997v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_014279995.1_ASM1427999v1_genomic,Synechococcus sp,Synechococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_014280035.1_ASM1428003v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_014280075.1_ASM1428007v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_014280095.1_ASM1428009v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_014280115.1_ASM1428011v1_genomic,Synechococcus sp,Synechococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_014280215.1_ASM1428021v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_014280235.1_ASM1428023v1_genomic,Cyanobium sp.,Cyanobium,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_014299995.1_ASM1429999v1_genomic,Sphaerospermopsis sp.,Sphaerospermopsis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_014304795.1_ASM1430479v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_014304815.1_ASM1430481v1_genomic,Synechococcus sp,Synechococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_014489415.1_ASM1448941v1_genomic,Cylindrospermopsis curvispora,Cylindrospermopsis,Aquatic,Reservoir,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_014489865.2_ASM1448986v2_genomic,Limnospira fusiformis,Limnospira,Aquatic,Saline Lake,Free-living,Aquatic,Aquatic,Sirenicapillariaceae,Oscillatoriales
GCF_014696195.1_ASM1469619v1_genomic,Sphaerospermopsis sp.,Sphaerospermopsis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_014696215.1_ASM1469621v1_genomic,Microcystis wesenbergii,Microcystis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_014696225.1_ASM1469622v1_genomic,Anabaena sp.,Anabaena,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_014696235.1_ASM1469623v1_genomic,Sphaerospermopsis sp.,Sphaerospermopsis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_014696265.1_ASM1469626v1_genomic,Planktothrix sp.,Planktothrix,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Oscillatoriaceae,Oscillatoriales
GCF_014696335.1_ASM1469633v1_genomic,Anabaena sp.,Anabaena,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_014696345.1_ASM1469634v1_genomic,Pseudanabaena sp.,Pseudanabaena,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Pseudanabaenaceae,Synechococcales
GCF_014696355.1_ASM1469635v1_genomic,Pseudanabaena sp.,Pseudanabaena,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Pseudanabaenaceae,Synechococcales
GCF_014696385.1_ASM1469638v1_genomic,Pseudanabaena sp.,Pseudanabaena,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Pseudanabaenaceae,Synechococcales
GCF_014696455.1_ASM1469645v1_genomic,Limnothrix sp.,Limnothrix,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Pseudanabaenaceae,Synechococcales
GCF_014696485.1_ASM1469648v1_genomic,Limnothrix sp.,Limnothrix,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Pseudanabaenaceae,Synechococcales
GCF_014696495.1_ASM1469649v1_genomic,Calothrix sp.,Calothrix,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Calotrichaceae,Nostocales
